source,target,travel_time_min,route_type
s1,s2,5,Express
s2,s3,8,Shuttle
s3,s4,6,Metro
s4,s5,7,Express
s5,s6,4,Shuttle
s6,s7,9,Metro
s7,s8,5,Express
s8,s9,8,Shuttle
s9,s10,6,Metro
s10,s11,7,Express
s11,s12,4,Shuttle
s12,s13,9,Metro
s13,s14,5,Express
s14,s15,8,Shuttle
s15,s16,6,Metro
s16,s17,7,Express
s17,s18,4,Shuttle
s18,s19,9,Metro
s19,s20,5,Express
s20,s21,8,Shuttle
s21,s22,6,Metro
s22,s23,7,Express
s23,s24,4,Shuttle
s24,s25,9,Metro
s25,s26,5,Express
s26,s27,8,Shuttle
s27,s28,6,Metro
s28,s29,7,Express
s29,s30,4,Shuttle
s30,s31,9,Metro
s31,s32,5,Express
s32,s33,8,Shuttle
s33,s34,6,Metro
s34,s35,7,Express
s35,s36,4,Shuttle
s36,s37,9,Metro
s37,s38,5,Express
s38,s39,8,Shuttle
s39,s40,6,Metro
s40,s41,7,Express
s41,s42,4,Shuttle
s42,s43,9,Metro
s43,s44,5,Express
s44,s45,8,Shuttle
s45,s46,6,Metro
s46,s47,7,Express
s47,s48,4,Shuttle
s48,s49,9,Metro
s49,s50,5,Express
