date,day,source,target,amount_usd,transaction_type,transaction_count
2026-01-01,1,c01,c05,13024,shipping,2
2026-01-01,1,c12,c02,27174,services,1
2026-01-02,2,c01,c12,8070,shipping,2
2026-01-02,2,c09,c10,5869,services,2
2026-01-02,2,c12,c11,27981,services,4
2026-01-02,2,c04,c08,24309,components,1
2026-01-02,2,c03,c07,16149,components,2
2026-01-03,3,c06,c02,8039,materials,1
2026-01-03,3,c06,c12,24782,components,1
2026-01-03,3,c12,c08,22571,goods,4
2026-01-04,4,c09,c05,32177,services,3
2026-01-04,4,c10,c04,28087,goods,1
2026-01-05,5,c05,c02,33027,shipping,1
2026-01-05,5,c07,c05,19857,components,2
2026-01-05,5,c06,c12,11865,components,1
2026-01-06,6,c09,c04,10354,materials,4
2026-01-06,6,c05,c11,27549,services,2
2026-01-06,6,c11,c06,32618,goods,2
2026-01-07,7,c06,c07,13773,goods,2
2026-01-07,7,c10,c06,11967,materials,4
2026-01-08,8,c03,c05,9575,shipping,3
2026-01-08,8,c12,c10,19038,services,4
2026-01-08,8,c06,c04,9532,services,4
2026-01-08,8,c02,c01,33216,goods,2
2026-01-08,8,c11,c03,30954,materials,1
2026-01-09,9,c07,c10,20337,services,3
2026-01-09,9,c09,c01,27291,goods,3
2026-01-09,9,c11,c06,8655,components,4
2026-01-09,9,c03,c08,5106,components,2
2026-01-09,9,c09,c02,33525,components,2
2026-01-10,10,c06,c03,22674,services,1
2026-01-10,10,c10,c06,21010,goods,1
2026-01-10,10,c06,c05,12846,goods,2
2026-01-11,11,c02,c08,31739,goods,2
2026-01-11,11,c03,c11,20574,services,2
2026-01-12,12,c09,c10,18865,shipping,2
2026-01-12,12,c12,c05,18074,components,4
2026-01-12,12,c09,c08,8965,shipping,2
2026-01-12,12,c02,c06,5689,services,2
2026-01-13,13,c01,c02,28194,goods,2
2026-01-13,13,c02,c01,33168,components,1
2026-01-13,13,c09,c04,14125,materials,2
2026-01-14,14,c12,c10,23881,materials,2
2026-01-14,14,c08,c07,11239,goods,1
2026-01-14,14,c11,c07,16609,materials,4
2026-01-15,15,c12,c01,27064,goods,1
2026-01-15,15,c07,c06,31233,goods,2
2026-01-15,15,c04,c12,22573,materials,2
2026-01-15,15,c07,c03,14127,materials,2
2026-01-15,15,c02,c08,31477,services,1
2026-01-16,16,c11,c09,32394,goods,1
2026-01-16,16,c04,c03,18317,materials,4
2026-01-17,17,c07,c01,10394,materials,1
2026-01-17,17,c07,c05,30692,materials,3
2026-01-17,17,c07,c09,26688,materials,2
2026-01-18,18,c05,c04,6916,services,1
2026-01-18,18,c12,c06,6873,goods,4
2026-01-18,18,c09,c12,10158,goods,1
2026-01-19,19,c02,c10,7226,shipping,4
2026-01-19,19,c02,c10,13067,services,1
2026-01-19,19,c10,c02,18737,services,3
2026-01-20,20,c04,c11,28468,components,2
2026-01-20,20,c05,c07,9288,components,4
2026-01-20,20,c06,c02,5305,materials,1
2026-01-20,20,c02,c09,11984,services,3
2026-01-21,21,c06,c02,33811,shipping,3
2026-01-21,21,c05,c03,19358,services,3
2026-01-21,21,c10,c11,22332,goods,3
2026-01-22,22,c03,c05,8782,goods,2
2026-01-22,22,c05,c12,24819,shipping,3
2026-01-23,23,c11,c12,32948,components,4
2026-01-23,23,c05,c01,8024,materials,3
2026-01-23,23,c01,c12,15929,shipping,3
2026-01-24,24,c12,c08,23077,materials,1
2026-01-24,24,c02,c12,33937,shipping,1
2026-01-24,24,c06,c10,23105,shipping,4
2026-01-25,25,c01,c05,16948,goods,3
2026-01-25,25,c04,c11,13176,goods,3
2026-01-25,25,c09,c07,25337,shipping,2
2026-01-26,26,c03,c07,5812,shipping,3
2026-01-26,26,c07,c11,33313,shipping,3
2026-01-26,26,c03,c02,17535,goods,4
2026-01-27,27,c04,c08,16457,components,2
2026-01-27,27,c04,c01,26627,shipping,4
2026-01-27,27,c06,c05,33323,goods,3
2026-01-28,28,c11,c09,18096,services,3
2026-01-28,28,c01,c02,33738,components,2
2026-01-28,28,c10,c05,6253,goods,4
2026-01-28,28,c06,c12,19299,services,1
2026-01-29,29,c10,c04,13346,goods,4
2026-01-29,29,c01,c09,31427,services,2
2026-01-29,29,c06,c07,7292,components,3
2026-01-29,29,c11,c02,28584,components,3
2026-01-29,29,c11,c07,15688,materials,3
2026-01-30,30,c04,c07,26788,materials,2
2026-01-30,30,c10,c12,14861,materials,1
2026-01-30,30,c05,c12,11887,materials,3
2026-01-31,31,c08,c12,27138,shipping,4
2026-01-31,31,c12,c03,26589,goods,3
2026-01-31,31,c09,c11,25740,services,3
2026-01-31,31,c02,c04,27046,components,2
2026-01-31,31,c04,c03,5800,goods,2
2026-02-01,32,c10,c02,19923,materials,2
2026-02-01,32,c12,c07,21199,materials,2
2026-02-01,32,c03,c11,27532,goods,1
2026-02-01,32,c07,c04,10763,services,4
2026-02-01,32,c01,c09,13165,goods,4
2026-02-02,33,c08,c11,22404,services,3
2026-02-02,33,c08,c10,31706,services,4
2026-02-02,33,c09,c08,34399,shipping,4
2026-02-03,34,c05,c04,32520,components,4
2026-02-03,34,c11,c04,13998,materials,1
2026-02-03,34,c12,c05,12683,components,3
2026-02-03,34,c06,c09,7640,shipping,2
2026-02-03,34,c04,c07,27739,shipping,2
2026-02-04,35,c07,c12,15842,services,4
2026-02-04,35,c07,c01,11777,materials,4
2026-02-05,36,c10,c07,20629,goods,3
2026-02-05,36,c05,c07,32965,materials,2
2026-02-06,37,c04,c05,19281,materials,1
2026-02-06,37,c07,c06,26917,materials,2
2026-02-06,37,c08,c03,25390,services,1
2026-02-06,37,c07,c10,23493,goods,1
2026-02-06,37,c11,c07,9446,materials,2
2026-02-07,38,c05,c07,15726,shipping,4
2026-02-07,38,c06,c12,29943,materials,3
2026-02-08,39,c05,c02,20411,goods,1
2026-02-08,39,c06,c04,26303,goods,1
2026-02-08,39,c01,c04,11532,goods,2
2026-02-08,39,c04,c03,20517,goods,2
2026-02-08,39,c08,c05,30129,components,2
2026-02-09,40,c03,c05,8542,services,1
2026-02-09,40,c05,c10,27195,materials,4
2026-02-10,41,c02,c10,27630,shipping,1
2026-02-10,41,c12,c05,32862,services,1
2026-02-10,41,c10,c01,16377,services,4
2026-02-11,42,c02,c09,26218,components,1
2026-02-11,42,c07,c08,8458,materials,3
2026-02-11,42,c11,c08,28177,shipping,4
2026-02-11,42,c03,c09,26314,components,4
2026-02-12,43,c07,c10,13794,components,2
2026-02-12,43,c02,c05,33889,materials,2
2026-02-12,43,c08,c10,24999,materials,3
2026-02-12,43,c01,c08,32884,components,2
2026-02-12,43,c08,c04,16626,components,3
2026-02-13,44,c10,c05,23212,goods,2
2026-02-13,44,c02,c04,28595,materials,4
2026-02-13,44,c09,c04,27629,materials,4
2026-02-13,44,c08,c01,8049,components,2
2026-02-14,45,c12,c04,15033,services,3
2026-02-14,45,c08,c09,22397,components,4
2026-02-14,45,c12,c09,15839,components,4
2026-02-14,45,c05,c12,13237,shipping,1
2026-02-14,45,c12,c04,15339,goods,2
2026-02-15,46,c04,c08,14060,services,3
2026-02-15,46,c02,c04,14707,shipping,3
2026-02-15,46,c03,c05,5463,services,2
2026-02-16,47,c01,c12,23132,components,2
2026-02-16,47,c11,c08,8361,goods,3
2026-02-16,47,c08,c12,19433,components,2
2026-02-16,47,c01,c05,33236,materials,1
2026-02-17,48,c07,c08,7427,services,1
2026-02-17,48,c03,c12,31579,services,3
2026-02-18,49,c04,c02,23286,materials,2
2026-02-18,49,c09,c07,19762,materials,3
2026-02-19,50,c05,c10,25349,goods,1
2026-02-19,50,c04,c11,11914,components,1
2026-02-19,50,c03,c04,10695,services,1
2026-02-19,50,c03,c01,18386,materials,4
2026-02-19,50,c05,c01,12585,components,3
2026-02-20,51,c02,c11,12648,components,2
2026-02-20,51,c07,c02,22844,shipping,2
2026-02-20,51,c05,c03,7339,goods,2
2026-02-20,51,c05,c10,29541,services,3
2026-02-20,51,c08,c02,20358,components,4
2026-02-21,52,c09,c12,21180,materials,1
2026-02-21,52,c10,c01,34144,materials,3
2026-02-21,52,c10,c05,5847,goods,2
2026-02-21,52,c11,c10,24238,goods,3
2026-02-22,53,c03,c08,22005,materials,3
2026-02-22,53,c03,c10,19283,materials,1
2026-02-23,54,c06,c07,15921,components,1
2026-02-23,54,c03,c06,18488,materials,3
2026-02-23,54,c11,c07,31658,services,1
2026-02-23,54,c08,c02,15306,components,3
2026-02-23,54,c02,c07,33341,services,1
2026-02-24,55,c07,c01,11146,services,3
2026-02-24,55,c10,c08,25493,materials,1
2026-02-24,55,c04,c05,22996,shipping,3
2026-02-24,55,c08,c12,8978,goods,2
2026-02-24,55,c12,c03,15182,services,1
2026-02-25,56,c02,c04,32571,goods,4
2026-02-25,56,c02,c11,32267,shipping,4
2026-02-25,56,c12,c05,21674,components,4
2026-02-25,56,c08,c12,12986,materials,2
2026-02-25,56,c07,c04,24640,services,2
2026-02-26,57,c05,c07,16137,services,3
2026-02-26,57,c01,c05,28791,components,4
2026-02-27,58,c08,c09,20870,components,3
2026-02-27,58,c09,c12,17360,materials,3
2026-02-27,58,c04,c12,23736,materials,2
2026-02-28,59,c01,c06,29402,materials,4
2026-02-28,59,c07,c11,30965,shipping,4
2026-02-28,59,c01,c03,21459,services,3
2026-02-28,59,c02,c08,8267,services,4
2026-02-28,59,c01,c03,18434,shipping,1
2026-03-01,60,c05,c06,25422,materials,1
2026-03-01,60,c06,c11,33158,services,4
2026-03-01,60,c06,c11,28550,materials,1
2026-03-01,60,c10,c02,12692,components,2
2026-03-01,60,c12,c02,19220,goods,1
