date,city,country,temperature_c,humidity_pct,wind_speed_mps,pressure_hpa,precipitation_mm
2025-01-01,New York,USA,2.5,68,4.2,1015,0.0
2025-01-02,New York,USA,3.1,72,5.1,1013,2.1
2025-01-03,New York,USA,1.8,65,3.8,1017,0.0
2025-01-04,New York,USA,4.2,70,4.5,1012,1.5
2025-01-05,New York,USA,5.6,75,5.8,1009,3.2
2025-01-01,London,UK,6.2,82,6.1,1008,1.2
2025-01-02,London,UK,7.1,85,7.3,1005,2.8
2025-01-03,London,UK,5.8,80,5.5,1010,0.5
2025-01-04,London,UK,6.5,83,6.8,1007,1.8
2025-01-05,London,UK,8.1,78,5.2,1006,0.3
2025-01-01,Tokyo,Japan,8.5,60,3.2,1020,0.0
2025-01-02,Tokyo,Japan,9.2,58,2.8,1021,0.0
2025-01-03,Tokyo,Japan,10.1,55,3.5,1019,0.0
2025-01-04,Tokyo,Japan,9.8,62,4.1,1018,0.2
2025-01-05,Tokyo,Japan,8.9,65,3.8,1020,0.0
2025-01-01,Singapore,Singapore,27.5,85,2.1,1010,5.2
2025-01-02,Singapore,Singapore,28.1,88,1.8,1009,8.1
2025-01-03,Singapore,Singapore,27.8,86,2.5,1011,3.5
2025-01-04,Singapore,Singapore,28.5,84,2.2,1010,2.8
2025-01-05,Singapore,Singapore,27.2,87,1.9,1012,6.4
2025-01-01,Sydney,Australia,24.5,65,4.5,1015,0.0
2025-01-02,Sydney,Australia,25.8,62,5.2,1014,0.0
2025-01-03,Sydney,Australia,26.2,60,4.8,1013,0.0
2025-01-04,Sydney,Australia,24.1,68,5.5,1016,1.2
2025-01-05,Sydney,Australia,23.5,70,6.1,1017,2.5
2025-01-01,Cairo,Egypt,18.2,45,3.5,1018,0.0
2025-01-02,Cairo,Egypt,19.1,42,4.1,1017,0.0
2025-01-03,Cairo,Egypt,20.5,40,3.8,1016,0.0
2025-01-04,Cairo,Egypt,21.2,38,4.5,1015,0.0
2025-01-05,Cairo,Egypt,19.8,43,3.2,1017,0.0
2025-01-01,São Paulo,Brazil,25.1,75,3.1,1013,4.5
2025-01-02,São Paulo,Brazil,26.2,78,2.8,1012,6.2
2025-01-03,São Paulo,Brazil,24.8,80,3.5,1014,8.1
2025-01-04,São Paulo,Brazil,25.5,77,3.2,1013,5.5
2025-01-05,São Paulo,Brazil,26.8,74,2.9,1011,3.8
2025-01-01,Toronto,Canada,-2.5,72,5.2,1016,1.5
2025-01-02,Toronto,Canada,-1.8,75,6.1,1014,2.8
2025-01-03,Toronto,Canada,-3.2,70,4.8,1018,0.5
2025-01-04,Toronto,Canada,-0.5,68,5.5,1015,0.0
2025-01-05,Toronto,Canada,0.2,65,6.2,1013,0.0
