section,cluster_name,count
Pages 1-25,Topic 1,1
Pages 1-25,Topic 3,2
Pages 1-25,Topic 4,3
Pages 1-25,Topic 5,12
Pages 1-25,Topic 6,1
Pages 1-25,Topic 7,5
Pages 101-125,Topic 0,8
Pages 101-125,Topic 1,13
Pages 101-125,Topic 2,1
Pages 101-125,Topic 6,3
Pages 126-150,Topic 0,6
Pages 126-150,Topic 1,4
Pages 126-150,Topic 4,1
Pages 126-150,Topic 6,13
Pages 126-150,Topic 7,1
Pages 151-175,Topic 0,2
Pages 151-175,Topic 1,3
Pages 151-175,Topic 2,4
Pages 151-175,Topic 4,3
Pages 151-175,Topic 6,12
Pages 151-175,Topic 7,1
Pages 176-200,Topic 1,14
Pages 176-200,Topic 2,7
Pages 176-200,Topic 4,1
Pages 176-200,Topic 6,3
Pages 201-225,Topic 0,1
Pages 201-225,Topic 1,1
Pages 201-225,Topic 2,3
Pages 201-225,Topic 4,6
Pages 201-225,Topic 6,13
Pages 201-225,Topic 7,1
Pages 226-250,Topic 0,3
Pages 226-250,Topic 1,10
Pages 226-250,Topic 2,1
Pages 226-250,Topic 4,3
Pages 226-250,Topic 7,8
Pages 251-275,Topic 0,6
Pages 251-275,Topic 1,2
Pages 251-275,Topic 4,7
Pages 251-275,Topic 6,6
Pages 251-275,Topic 7,4
Pages 26-50,Topic 3,18
Pages 26-50,Topic 5,3
Pages 26-50,Topic 7,4
Pages 276-300,Topic 0,14
Pages 276-300,Topic 2,1
Pages 276-300,Topic 4,7
Pages 276-300,Topic 7,3
Pages 301-325,Topic 0,7
Pages 301-325,Topic 1,10
Pages 301-325,Topic 2,2
Pages 301-325,Topic 4,1
Pages 301-325,Topic 6,1
Pages 301-325,Topic 7,4
Pages 326-350,Topic 0,2
Pages 326-350,Topic 1,7
Pages 326-350,Topic 2,9
Pages 326-350,Topic 4,4
Pages 326-350,Topic 6,1
Pages 326-350,Topic 7,2
Pages 351-375,Topic 0,4
Pages 351-375,Topic 3,1
Pages 351-375,Topic 4,5
Pages 351-375,Topic 5,2
Pages 351-375,Topic 6,11
Pages 351-375,Topic 7,2
Pages 376-400,Topic 0,2
Pages 376-400,Topic 1,3
Pages 376-400,Topic 2,3
Pages 376-400,Topic 3,3
Pages 376-400,Topic 4,6
Pages 376-400,Topic 5,1
Pages 376-400,Topic 6,2
Pages 376-400,Topic 7,5
Pages 51-75,Topic 3,16
Pages 51-75,Topic 4,1
Pages 51-75,Topic 5,7
Pages 51-75,Topic 7,1
Pages 76-100,Topic 1,12
Pages 76-100,Topic 3,2
Pages 76-100,Topic 4,1
Pages 76-100,Topic 5,7
Pages 76-100,Topic 6,1
Pages 76-100,Topic 7,2
